Geneid,K70_1,K70_2,K70_3,K70MD_1,K70MD_2,K70MD_3,K70P10_1,K70P10_2,K70P10_3,NKO70_1,NKO70_2,NKO70_3
LOC101928300,0,7,0,0,0,3,0,3,2,6,4,0
CABP1,44,43,12,17,30,22,52,81,39,8,13,12
LOC105370029,2,0,0,0,0,0,5,0,1,0,1,0
MLEC,3552,4169,2916,1044,1301,1483,6031,5423,2346,3098,2781,3375
UNC119B,1316,1578,1160,440,481,679,1818,1594,848,977,942,1192
MIR4700,0,0,0,0,0,0,0,0,0,0,0,0
ACADS,385,388,312,196,235,176,326,292,305,285,277,327
SPPL3,897,1085,812,289,308,406,962,916,587,723,672,771
XLOC_009911,0,0,0,0,0,0,0,0,0,0,0,0
HNF1A-AS1,0,0,0,0,0,0,0,0,0,0,0,0
HNF1A,13,16,9,3,5,0,44,43,3,2,9,11
C12orf43,217,251,184,66,88,91,472,510,131,197,206,292
OASL,6,4,0,6,11,7,14,33,39,2,3,14
LOC105378258,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370031,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370030,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370032,2,0,0,2,0,0,3,1,2,0,0,0
P2RX7,59,70,42,28,48,81,393,400,54,21,23,20
P2RX4,253,288,244,235,325,279,466,430,308,211,232,216
CAMKK2,632,709,540,131,157,185,921,945,380,447,427,523
ANAPC5,2688,3326,2707,3009,3323,3544,3216,3129,3569,3406,3168,3231
RNF34,854,1012,772,1281,1509,1573,1230,1105,1561,1126,1058,1041
KDM2B,419,631,418,72,123,130,848,854,207,343,313,420
MIR7107,0,0,0,0,0,0,0,0,0,0,0,0
KDM2B-DT,1,5,1,10,1,4,18,13,4,1,0,5
LOC105370033,0,0,0,0,1,0,1,4,2,0,0,0
ORAI1,635,824,665,596,750,815,1122,988,973,701,590,791
MORN3,3,0,0,0,0,0,4,1,4,3,0,5
LOC105370034,9,11,3,17,14,13,12,11,15,3,5,15
TMEM120B,375,447,357,130,147,196,872,744,268,331,355,405
RHOF,101,98,99,7,19,24,227,178,30,76,47,43
LOC107984442,0,0,0,0,0,0,0,2,0,0,0,0
LINC01089,111,127,114,33,51,42,62,65,38,108,82,97
SETD1B,550,770,454,60,103,162,996,976,230,398,367,408
HPD,6,16,4,5,32,15,15,9,18,13,11,8
LOC105370035,0,3,0,0,1,2,3,3,1,2,0,0
PSMD9,1477,1843,1233,1525,1751,1843,1384,1256,1810,1810,1791,2037
WDR66,1988,2354,1729,2672,3152,3372,2148,1914,3085,2107,1943,2019
BCL7A,584,731,539,106,102,177,997,882,340,464,464,448
LOC100506691,40,43,16,98,109,94,20,22,45,60,27,32
MLXIP,1009,1274,929,161,219,331,2011,1989,419,603,616,818
LRRC43,1,0,2,0,0,0,5,2,1,0,3,0
IL31,0,0,0,0,0,0,0,0,2,0,0,0
B3GNT4,950,1065,855,1361,1578,1556,667,711,1142,1222,1268,1307
DIABLO,1454,1696,1312,2200,2545,2680,987,1020,1719,1953,1928,1984
LOC101593348,1,2,6,2,0,0,4,1,14,1,0,1
VPS33A,849,933,738,635,698,726,825,723,876,948,898,1008
CLIP1,278,535,320,151,196,250,3568,3699,249,129,124,175
CLIP1-AS1,0,3,0,1,10,2,25,15,3,1,0,0
ZCCHC8,374,385,278,85,157,161,603,514,194,253,256,310
RSRC2,434,501,415,66,87,121,1128,1184,136,221,230,280
KNTC1,583,701,548,203,213,229,1193,1153,287,462,392,432
?,0,0,0,0,0,0,1,0,1,0,0,0
HCAR2,14,9,9,15,2,10,59,45,49,11,9,4
HCAR3,14,8,5,17,10,23,30,24,9,10,7,13
HCAR1,0,1,1,0,0,0,2,0,0,2,0,1
DENR,2994,3600,2764,2265,2623,2853,3037,2986,2886,3971,3687,3807
CCDC62,0,0,9,0,4,2,9,23,0,3,1,2
HIP1R,508,710,478,117,170,256,1433,1343,278,322,274,431
VPS37B,711,840,614,475,480,628,1193,1138,647,766,689,762
ABCB9,165,273,136,99,96,97,333,338,206,192,128,204
OGFOD2,367,369,263,298,328,414,517,415,468,409,348,421
ARL6IP4,2828,3406,2429,2576,2726,2807,2403,2136,2784,3408,3051,3158
PITPNM2,243,328,283,17,32,68,583,580,148,159,168,172
MIR4304,0,0,0,0,0,0,0,0,0,0,0,0
PITPNM2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
MPHOSPH9,296,361,267,69,49,82,621,634,74,165,187,208
C12orf65,380,453,311,148,158,135,441,370,208,313,282,321
CDK2AP1,2313,2747,1867,2429,2573,3148,1970,1836,2603,2507,2424,2338
SBNO1,505,605,481,126,185,299,1630,1631,216,279,258,307
SBNO1-AS1,17,19,16,27,43,32,20,15,19,8,8,10
MIR8072,0,0,0,0,0,0,0,0,0,0,0,0
KMT5A,422,601,447,101,95,147,1174,1085,172,294,282,404
RILPL2,342,383,256,230,229,310,583,497,355,382,322,382
SNRNP35,171,237,127,56,61,74,206,145,92,169,149,184
RILPL1,220,324,248,101,116,136,396,413,135,178,136,203
MIR3908,0,0,0,0,0,0,0,0,0,0,0,0
TMED2-DT,3,5,7,6,9,7,11,6,2,1,1,2
TMED2,8655,9878,7637,11241,13785,14308,4957,4823,10789,12551,11894,11374
DDX55,241,290,192,111,151,175,713,628,190,238,219,230
LOC105370041,20,38,19,18,21,16,49,49,24,24,28,21
SNORA9B,0,0,0,3,0,0,1,0,1,0,0,0
EIF2B1,935,1213,819,721,825,882,1224,1129,1143,1188,1166,1215
GTF2H3,1679,2006,1489,1731,2011,2034,2271,1913,1865,1959,1706,1786
TCTN2,409,523,358,136,141,187,817,768,407,286,330,355
ATP6V0A2,1090,1248,884,1194,1369,1403,1372,1240,1246,1151,1206,1280
LOC105370042,0,0,1,0,0,1,0,0,0,0,0,0
DNAH10,6,5,11,6,6,10,65,45,10,2,1,0
LOC105370044,0,0,0,0,0,0,0,0,0,0,0,0
CCDC92,259,291,226,66,78,129,491,537,146,129,102,145
ZNF664-RFLNA,0,0,0,0,0,0,0,0,0,0,0,0
ZNF664,2168,2601,2148,689,770,1030,4228,3790,1199,1827,1963,2226
RFLNA,0,0,0,0,0,0,0,0,0,0,0,0
?,0,0,0,0,0,0,0,0,0,0,0,0
NCOR2,5472,6810,4896,472,734,1152,7953,8445,2323,3870,3356,4584
MIR6880,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370047,34,43,29,66,102,82,35,22,53,34,48,29
LOC101927436,0,0,0,0,0,0,0,0,0,0,0,1
SCARB1,3660,4325,3028,628,793,1178,6343,5436,1989,1969,1828,2329
LOC105370050,0,1,0,0,3,5,1,0,0,2,0,0
LOC107984444,0,1,0,0,0,3,0,0,0,0,0,0
LOC105370051,0,2,0,0,1,2,2,2,0,0,0,0
UBC,12642,15276,11355,4372,4779,6082,20761,20667,8122,9986,9393,11342
MIR5188,1,6,0,2,0,0,1,0,0,0,0,0
DHX37,660,852,565,157,243,384,1770,1776,464,622,655,825
BRI3BP,490,685,389,329,302,344,1076,863,496,538,511,490
THRIL,429,564,342,82,80,149,1241,1106,265,329,289,379
LOC105370052,0,0,0,0,0,0,0,0,0,0,0,0
AACS,1922,2148,1597,942,992,1327,2845,2594,1848,1956,1708,1927
LOC105370053,0,1,0,0,0,0,0,0,0,0,0,0
TMEM132B,6,8,7,3,7,11,20,23,11,2,8,3
LOC105370054,0,0,0,0,1,0,0,0,0,0,0,0
LOC107984445,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370055,0,0,0,0,0,0,0,0,0,0,0,0
LINC00939,0,3,1,0,1,0,2,0,0,2,0,0
LINC02826,0,0,0,1,0,0,0,0,0,0,0,0
LOC105370058,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370056,0,2,1,2,0,0,0,2,0,2,0,7
LINC02359,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984447,2,0,0,0,0,0,3,0,0,0,1,0
LINC02467,0,0,0,0,0,0,0,0,0,0,0,0
LOC105379613,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927531,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984448,0,0,0,0,0,0,0,0,0,0,0,0
LINC02825,0,0,0,0,0,0,0,0,0,0,0,0
LINC02350,0,0,0,0,0,0,0,0,0,0,0,0
LINC02347,0,0,0,0,0,2,0,0,0,0,0,0
LOC100996671,0,0,0,0,0,1,0,0,0,0,0,0
LINC02824,0,0,0,0,0,0,0,0,0,0,0,0
LINC00944,0,0,0,1,0,0,2,0,0,0,0,0
LINC00943,0,0,0,0,0,0,0,0,0,0,0,0
LINC02372,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370061,0,0,0,0,0,0,0,0,0,0,0,0
LINC02405,0,3,2,3,0,0,0,0,0,1,0,0
LOC105370063,0,0,0,0,0,0,0,0,0,0,1,0
LOC107984449,3,11,5,2,0,4,7,18,3,0,0,4
LOC107984450,3,6,3,2,1,4,6,15,1,0,1,1
LOC105370062,5,5,5,8,0,2,22,7,0,2,0,1
LOC105370064,1,0,0,0,0,3,0,0,4,0,0,0
LINC02376,0,0,0,0,0,0,0,0,0,1,0,0
LINC02375,0,0,2,0,1,0,1,2,0,0,0,0
LOC105370066,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370067,0,0,0,3,0,2,1,4,0,0,0,0
LINC02411,0,0,0,0,0,2,0,0,0,0,0,0
LOC105370068,0,0,0,0,2,1,0,0,2,0,0,0
LOC105370069,0,0,0,0,0,0,1,0,0,0,0,0
LINC02393,0,0,0,1,3,0,0,0,0,0,0,0
LINC00508,23,23,21,12,15,10,20,27,22,10,12,11
LINC00507,0,3,0,1,5,0,0,0,0,0,2,0
LINC02441,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370071,0,0,0,0,0,0,0,0,0,0,0,0
LINC02369,3,0,5,2,0,5,1,3,0,1,0,0
LINC02368,5,2,5,6,3,0,6,7,3,1,1,0
LOC107987176,0,0,0,0,0,0,0,0,0,0,0,0
TMEM132C,0,1,0,0,4,0,2,1,0,0,0,0
MIR3612,0,0,0,0,0,0,0,0,0,0,0,0
SLC15A4,508,467,422,275,214,255,447,363,300,487,414,454
LOC100128276,0,0,0,0,0,0,0,0,0,0,0,0
GLT1D1,0,1,2,2,7,6,12,11,5,1,1,3
LOC105370073,0,0,0,0,0,0,0,0,4,0,0,0
TMEM132D,1,0,4,2,0,3,3,0,0,0,0,3
TMEM132D-AS1,2545,3092,2282,3522,3752,4784,2432,2261,3362,2921,2904,2891
TMEM132D-AS2,0,0,0,0,0,3,0,0,0,0,0,0
LOC105370074,0,0,0,0,0,3,0,0,0,0,0,0
LOC105370076,0,0,0,0,0,0,0,0,0,0,0,0
LINC02418,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370077,0,0,0,0,2,0,0,0,0,0,0,0
LINC02419,0,0,0,0,0,0,0,0,0,0,0,0
FZD10-AS1,43,38,29,18,19,13,45,51,20,24,21,15
FZD10,57,71,55,5,5,11,105,102,33,15,17,19
LOC107984480,0,0,0,0,0,1,0,0,0,0,0,0
LOC101927786,0,3,2,7,5,5,14,6,3,0,2,3
PIWIL1,58,82,50,123,127,160,166,176,78,59,77,102
RIMBP2,1,2,4,3,8,0,12,7,10,3,0,3
LOC105370079,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370080,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984451,0,0,0,0,0,0,3,0,0,0,0,0
STX2,373,400,286,125,142,143,321,327,220,409,350,392
RAN,21541,24330,17844,21533,25807,26136,9400,8539,21380,32199,30288,29318
ADGRD1,0,0,3,2,1,5,6,5,1,3,4,6
ADGRD1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984452,0,0,0,0,1,0,0,0,0,0,0,0
LINC01257,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370082,0,0,0,0,0,0,0,0,0,0,0,2
LOC107987177,0,0,0,1,1,0,0,0,0,0,0,0
LOC100128002,0,0,0,0,0,0,0,0,0,0,0,0
LINC02415,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370083,0,0,0,0,0,0,0,0,0,0,0,0
LINC02370,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929974,1,0,0,3,1,0,1,3,3,0,0,0
LOC105370084,0,0,0,0,0,0,0,0,0,0,0,0
LINC02414,0,0,0,0,0,0,1,0,0,0,0,0
LOC105370086,0,0,0,0,0,0,0,0,0,0,0,0
LOC100996701,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370087,0,0,0,0,0,0,0,0,0,0,0,0
SFSWAP,432,613,393,111,123,167,1032,1106,162,244,229,309
LOC105370088,0,0,0,0,0,0,0,2,0,0,0,0
MMP17,17,20,10,10,14,16,102,84,28,15,9,7
ULK1,644,888,627,178,205,331,1553,1492,385,359,303,388
LOC107984455,6,13,2,1,2,6,24,10,13,3,9,0
PUS1,792,964,626,345,510,550,1210,1009,620,1093,925,1005
EP400,1169,1559,1210,129,219,392,2081,2144,458,797,676,986
SNORA49,0,0,0,0,2,0,0,0,0,0,0,0
EP400P1,29,41,22,13,11,21,65,72,12,27,15,12
DDX51,350,466,316,87,72,140,626,639,167,326,315,339
NOC4L,879,1026,875,386,423,633,903,951,632,1125,970,1164
LOC105370090,0,0,0,0,0,0,0,0,0,1,0,0
LOC107984456,0,0,1,0,0,0,0,0,4,0,0,4
LINC02361,4,12,9,4,5,2,25,16,3,6,4,6
GALNT9,4,3,6,5,0,6,27,27,7,2,3,4
LOC105370091,0,1,2,3,5,3,8,10,2,0,0,2
LOC100130238,23,19,35,6,0,1,83,76,20,17,12,7
LOC101928416,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370092,3,1,0,3,0,3,8,10,1,0,1,1
LOC112268102,0,0,0,0,0,0,0,5,0,3,0,1
MUC8,0,0,0,0,0,0,9,3,0,0,0,0
FBRSL1,1946,2543,1879,265,354,548,2987,2879,926,1622,1508,1906
MIR6763,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370094,0,0,0,1,2,6,0,0,0,0,0,0
LRCOL1,0,0,0,0,0,0,0,0,0,0,0,0
P2RX2,3,1,3,0,4,7,33,35,10,4,1,0
POLE,1030,1424,1037,235,308,554,3606,3699,586,697,561,760
PXMP2,1330,1509,1098,1691,1981,1935,673,580,1774,1778,1568,1573
PGAM5,1745,2308,1525,393,483,542,2478,2055,890,1977,1633,2011
ANKLE2,929,1112,808,280,407,434,1956,1936,604,834,764,934
GOLGA3,867,1103,723,238,302,387,2900,2799,448,470,489,571
CHFR,89,82,63,33,36,32,180,183,44,60,64,97
LOC101928530,0,0,0,0,1,1,1,0,0,1,0,0
ZNF605,14,8,9,11,6,17,105,93,6,13,6,5
ZNF26,207,216,171,128,140,98,336,271,188,227,199,216
?,0,0,0,0,0,1,1,3,1,3,0,0
ZNF84-DT,0,0,0,0,0,0,0,0,0,0,0,0
ZNF84,144,184,177,36,49,60,395,418,47,106,115,151
ZNF140,361,340,223,292,343,325,271,289,354,366,318,304
ZNF891,9,14,21,5,10,12,34,20,12,19,15,26
ZNF10,1,11,7,20,17,20,26,34,14,7,10,4
ZNF268,52,105,73,25,38,26,190,194,35,33,31,60
ANHX,0,0,1,0,0,0,0,0,0,0,0,0
FAM230C,4,2,1,0,0,3,2,2,2,2,5,7
LOC105379278,0,0,0,0,0,0,0,0,0,0,0,0
LINC00417,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD20A9P,0,0,0,0,0,0,0,0,0,0,1,0
LINC00408,2,3,7,2,13,5,0,0,1,3,4,5
LINC00442,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984132,0,1,2,0,0,0,0,0,0,0,0,0
TUBA3C,0,0,0,0,1,0,1,0,0,0,0,0
LOC101928697,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD26P3,0,0,0,0,0,0,0,0,0,0,0,0
LINC00421,0,0,0,3,0,0,0,0,0,0,0,0
TPTE2,0,0,0,2,0,0,1,0,0,0,2,0
LINC00350,0,0,0,0,0,0,0,0,0,0,0,0
MPHOSPH8,187,223,165,28,60,84,980,931,62,84,59,122
PSPC1,943,1111,851,626,677,661,1497,1405,802,901,769,903
ZMYM5,109,145,93,125,201,202,207,192,185,126,94,145
ZMYM2,433,492,345,180,170,266,1056,1076,340,299,305,355
LINC01072,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370101,0,0,0,0,1,0,0,0,0,0,0,0
GJA3,44,40,28,29,37,40,221,198,65,27,33,29
LOC107984553,0,0,0,0,0,0,0,0,0,0,0,0
GJB2,16,18,10,14,16,20,37,36,19,6,10,21
GJB6,0,1,0,1,0,5,3,1,0,1,0,0
LOC105370102,0,0,0,0,0,0,0,0,0,0,0,0
CRYL1,187,235,209,182,203,200,121,92,184,180,127,129
MIR4499,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370103,0,2,0,0,0,0,1,0,0,0,0,1
IFT88,173,159,149,35,72,58,105,95,58,118,70,135
IL17D,180,235,177,62,77,87,197,148,103,166,133,168
EEF1AKMT1,66,52,27,72,78,85,71,39,89,68,67,57
XPO4,1060,1163,1000,483,596,729,1308,1243,828,1069,1148,1257
LINC00367,0,0,1,0,0,0,1,0,0,0,0,0
LATS2,300,450,297,114,150,225,1101,1054,208,241,220,238
LOC105370104,0,0,0,0,0,0,0,0,0,0,0,0
SAP18,2801,3416,2261,4464,5550,5632,2577,2074,3944,3829,3612,3592
SKA3,826,922,665,616,777,861,1083,1109,857,999,946,1023
MRPL57,1413,1684,1229,2554,2982,3359,1035,882,2173,1967,1789,1880
LINC01046,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370105,0,1,0,2,0,3,0,1,1,1,0,2
LOC101928764,30,20,15,29,31,31,16,26,25,28,28,20
MIPEPP3,117,183,113,95,121,147,167,209,112,115,98,161
LINC00539,0,2,5,2,0,0,4,5,1,2,0,0
GRK6P1,3,3,0,0,0,0,0,0,2,0,0,0
ZDHHC20,2134,2548,1901,859,1001,1064,3263,3154,1324,1643,1505,1805
MICU2,666,791,578,597,616,706,726,710,561,751,760,857
LOC107984582,0,0,0,0,0,0,0,0,0,0,0,0
FGF9,71,62,54,42,73,85,172,161,63,79,66,74
LINC00424,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370108,6,0,0,7,0,3,0,0,2,0,1,4
LINC00540,15,12,8,13,24,8,16,14,7,14,18,12
LOC107984599,2,4,0,0,0,0,1,4,0,3,1,0
LINC00621,2,0,1,4,0,0,1,0,2,1,0,1
LOC105370109,0,0,0,0,0,0,0,0,0,0,0,0
BASP1P1,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370111,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370112,0,0,0,0,0,0,0,0,0,0,0,1
SGCG,1,0,2,0,0,0,0,1,0,0,0,0
LOC107984585,0,2,1,0,1,0,1,0,0,0,0,0
SACS,285,409,230,76,86,127,785,839,134,195,180,270
SACS-AS1,0,0,0,0,0,1,0,0,1,0,0,0
LINC00327,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF19,10,22,9,46,54,78,38,36,42,24,24,24
LOC105370114,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370113,7,7,8,5,7,1,1,0,1,2,7,9
MIPEP,934,1013,736,376,397,451,510,478,690,1008,1013,963
PCOTH,26,29,19,68,87,96,67,70,72,41,49,53
C1QTNF9B,23,23,15,55,63,80,59,58,55,32,34,29
ANKRD20A19P,46,97,46,54,63,50,123,108,28,29,40,48
LOC105370115,445,451,377,464,375,499,240,213,277,520,467,556
SPATA13,77,94,52,16,21,28,270,222,35,31,80,52
MIR2276,0,0,0,0,0,0,0,0,0,0,0,0
SPATA13-AS1,0,0,0,0,0,0,0,0,0,0,0,0
C1QTNF9,0,1,0,0,0,0,0,1,0,0,0,0
LINC00566,0,0,0,0,0,0,0,0,0,0,0,0
PARP4,957,1028,854,261,356,450,2230,2364,559,579,557,688
LOC105370117,2,4,3,13,17,9,1,3,1,2,3,1
LOC105370295,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927375,0,1,0,0,0,0,0,0,0,0,0,0
TPTE2P6,1,0,0,0,0,4,0,0,1,0,0,0
LOC107984610,0,0,0,0,0,0,0,0,0,0,0,0
ATP12A,4,0,1,0,6,0,0,2,3,0,1,0
LOC105370118,0,0,0,2,0,0,0,0,0,0,0,0
RNF17,4,6,5,13,11,20,19,8,1,6,5,4
LOC112268115,0,0,0,0,0,0,0,0,0,0,0,0
CENPJ,99,140,74,17,13,20,463,457,29,42,40,41
LOC107987187,0,0,0,0,0,0,0,1,0,1,0,0
TPTE2P1,0,0,0,3,0,0,0,1,0,3,0,0
LOC105370119,2,6,0,3,2,8,16,11,6,1,0,5
LOC105370120,0,0,0,0,1,0,0,0,0,0,0,0
PABPC3,16,38,28,5,10,16,26,44,16,16,21,9
AMER2,0,0,0,1,0,0,0,1,0,0,0,2
LINC00463,0,0,0,0,0,0,0,0,0,0,0,0
LINC01053,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370121,0,0,0,0,0,0,0,0,0,0,0,0
MTMR6,1092,1174,943,882,1096,999,676,707,1113,1384,1246,1233
NUP58,1695,2105,1579,1070,1098,1307,2167,2069,1414,1936,1904,2011
ATP8A2,34,69,42,45,54,52,93,96,52,18,20,19
LOC105370122,1,0,0,0,1,0,0,3,0,0,0,0
SHISA2,51,41,42,45,58,86,189,145,82,48,50,47
LINC00415,0,0,0,0,0,0,0,0,0,0,0,0
RNF6,466,722,481,255,269,342,1752,1673,339,473,371,503
CDK8,732,936,728,405,444,627,780,732,779,988,883,943
WASF3,313,339,277,59,69,115,488,409,168,200,174,210
LOC107984597,0,0,0,0,0,0,0,0,0,0,0,0
GPR12,0,0,0,5,0,2,1,0,3,0,0,0
LOC105370124,3,4,1,0,0,5,2,0,0,2,7,4
USP12,707,818,543,341,413,517,909,911,612,831,738,821
USP12-AS1,0,0,0,0,0,0,0,0,0,0,0,0
USP12-AS2,0,2,1,1,0,7,2,0,2,8,2,1
LINC02340,5,3,3,5,3,5,5,5,4,11,4,2
LINC00412,1,0,0,2,3,6,2,0,0,0,0,0
RPL21,13519,16707,12255,19307,23473,22644,6288,5725,13846,19514,17858,18128
SNORD102,0,4,1,0,0,0,5,3,0,0,0,0
SNORA27,0,1,0,0,0,0,8,2,0,4,1,0
RASL11A,57,67,42,204,163,160,98,80,157,75,83,73
LOC105370126,0,0,0,0,0,0,0,0,0,0,0,0
GTF3A,1423,1691,1362,2269,2752,2755,1076,1033,2051,1761,1750,1679
MTIF3,306,385,363,340,401,436,333,335,372,329,369,332
LNX2,746,934,701,527,535,702,1317,1231,882,765,760,865
POLR1D,2687,3233,2361,2831,3326,3504,2214,1949,3202,3277,3190,3306
LOC105370128,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370129,0,0,2,0,0,0,0,0,2,0,0,2
GSX1,0,0,0,0,0,0,0,0,0,0,0,0
PLUT,0,2,0,0,2,0,0,2,0,0,0,0
LOC105370130,0,0,0,0,0,0,0,0,0,0,0,0
PDX1,2,1,4,6,0,0,14,3,6,2,1,0
LINC00543,0,0,0,0,0,0,0,2,0,0,0,0
CDX2,0,0,0,0,0,2,1,0,0,0,0,0
URAD,0,0,0,4,0,5,0,0,0,0,0,0
LOC105370132,0,0,0,4,0,2,2,0,0,0,0,0
FLT3,0,3,0,4,1,3,2,0,3,0,1,0
PAN3,334,445,337,57,83,126,421,373,130,339,302,324
PAN3-AS1,61,74,50,4,12,16,52,46,18,52,67,50
FLT1,0,1,1,14,19,14,10,5,1,0,0,0
LOC105370135,0,0,0,1,0,2,0,4,0,0,0,0
POMP,3799,4560,3045,7068,9135,8975,1951,1618,5509,6097,5232,4924
SLC46A3,58,21,35,47,15,40,40,37,32,27,9,21
MTUS2,43,61,33,12,16,35,115,112,47,46,50,66
MTUS2-AS1,0,0,0,0,0,0,2,0,0,0,0,0
SLC7A1,3444,4252,3019,535,644,1014,6488,5852,1790,2436,2454,3162
LOC102723345,36,21,17,41,45,61,25,9,58,44,41,39
LOC105370139,92,129,95,356,359,486,129,119,127,157,141,157
UBL3,749,905,685,1218,1152,1506,1539,1419,1254,851,858,822
LINC00297,0,0,0,1,3,5,0,0,0,0,0,0
LINC00572,0,0,0,0,1,4,0,0,1,0,0,0
LINC00544,0,0,0,0,0,0,0,0,0,0,0,0
LINC00365,0,0,0,0,3,1,4,3,0,0,0,0
LINC00384,0,0,0,0,0,0,0,0,0,0,0,0
LINC00385,0,0,0,0,0,0,0,0,0,0,0,0
KATNAL1,310,375,310,259,279,411,634,561,442,294,251,333
LOC102723381,0,0,0,0,0,0,0,1,0,0,0,0
LINC00426,0,0,1,0,3,0,1,0,0,0,0,0
LINC01058,1,6,3,1,3,1,3,5,4,1,0,1
UBE2L5,3,8,3,5,0,5,6,4,1,3,9,2
LOC107984577,2,4,0,1,0,8,6,1,0,0,0,0
HMGB1,13315,15400,11917,8594,10350,10205,9577,8305,8760,14116,13570,14663
USPL1,154,178,149,71,77,85,261,250,111,118,107,118
ALOX5AP,8,29,12,27,50,35,22,21,35,2,14,8
LINC00398,0,0,0,0,0,1,0,0,0,0,0,0
LINC00545,0,0,0,3,7,11,1,0,9,0,0,0
TEX26-AS1,0,0,0,8,8,14,1,0,13,2,0,0
MEDAG,0,0,0,2,1,1,0,0,0,0,0,0
TEX26,0,0,0,0,0,0,0,2,0,0,0,0
LOC105370145,0,0,0,0,0,0,0,0,0,0,0,0
LOC102723392,0,0,0,0,0,0,0,0,0,0,0,0
HSPH1,4030,4900,3406,723,877,1101,7540,7454,1309,2747,2679,3695
LOC105370148,0,0,0,0,0,0,1,0,3,0,4,0
B3GLCT,502,582,442,253,305,310,449,472,360,481,482,550
LOC105370150,0,0,0,0,0,0,0,0,0,0,0,0
RXFP2,0,0,0,0,0,2,0,0,0,0,0,0
LOC105370152,0,3,0,0,0,0,0,0,0,0,0,0
EEF1DP3,1,2,2,21,20,28,6,8,16,0,0,2
FRY-AS1,1,2,0,0,0,3,3,7,2,2,0,0
FRY,29,53,61,43,32,59,295,263,53,16,20,20
ZAR1L,1,0,0,2,1,3,3,1,0,0,0,0
BRCA2,30,99,34,27,38,41,721,641,11,16,24,19
N4BP2L1,4,2,0,2,6,5,1,10,2,0,3,1
N4BP2L2,437,494,443,201,319,253,544,583,250,424,457,453
MICOS10P1,0,0,0,1,0,0,0,0,0,0,0,0
N4BP2L2-IT2,2,0,4,0,0,2,0,4,0,0,0,0
LOC107984584,0,0,0,0,0,0,0,0,0,0,0,0
PDS5B,246,352,302,60,56,100,515,562,62,170,134,240
LINC00423,0,0,0,0,0,0,0,0,0,0,0,0
KL,0,0,0,0,0,4,0,3,1,0,0,0
STARD13,45,62,23,40,98,87,188,224,74,37,34,59
STARD13-AS,0,5,0,2,0,3,3,1,4,1,1,0
LINC02344,0,0,0,0,0,0,0,0,0,0,0,0
LOC112268116,0,0,0,0,0,0,0,0,0,0,0,0
LOC102723406,6,2,3,16,14,4,7,1,2,6,5,6
LOC107984551,1,0,1,1,1,0,0,0,5,1,0,6
RFC3,1389,1679,1240,2393,2873,3218,1904,1765,2610,2091,2025,2040
LOC105370156,0,0,0,0,0,0,0,0,0,0,0,0
LOC107984589,0,3,0,3,3,9,2,3,4,0,2,0
LINC02343,0,0,0,0,0,0,0,0,0,0,0,0
LINC00457,0,0,0,0,0,0,0,0,0,0,0,0
LOC105370159,0,0,0,0,0,0,0,0,0,0,0,0
LOC107987189,0,0,0,0,0,0,0,0,0,0,0,0
NBEA,19,27,18,9,5,4,16,16,8,9,22,28
MAB21L1,18,28,36,12,9,5,27,15,10,45,35,25
LOC105370161,0,0,0,0,0,0,0,0,0,0,0,0
LINC00445,0,0,0,0,0,0,0,0,0,0,0,0
DCLK1,93,112,69,47,42,67,164,177,85,60,47,52
