© 2000-2019 QIAGEN. All rights reserved.

Upstream Regulator	Molecule Type	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
FGF1	growth factor	1.61E-03	AKR1B10,CCN2,CCN5,DIO3,IL1B,LRRC17,RHOU,SOX2,TIMP3	164 (16)
LDL	complex	1.63E-03	ATF3,CASP1,CASP10,CCN2,CFLAR,CYP2J2,FAS,FOSB,IL1B,IL1RN,INSIG1,NR4A3,OLR1,SREBF1	163 (16)
dexamethasone phosphate	chemical drug	1.63E-03	DDIT4,GPD1,ID3,IL1B	 
PDGF-AA	complex	1.63E-03	AREG,HBEGF,ID4,SOX2	 
pimagedine	chemical drug	1.64E-03	CASP1,CCN2,CFLAR,CNN1,HBEGF	82 (7)
filgrastim	biologic drug	1.67E-03	ATF3,BIRC3,CD83,CEACAM1,DHRS9,EMILIN2,FBP1,GBP3,HHIP,IFI6,IFIT3,IL31RA,MAFF,NMNAT2,NR4A3,PGD,PHLDA2,RELB,SLC25A22,TNFAIP2	 
Creb	group	1.70E-03	ACVR2B,AREG,ATF3,CASP1,CFLAR,CGB3 (includes others),CTSV,DUSP4,EPHA3,FAS,FOSB,IL1B,NMNAT2,NR4A3,SLC7A11,SOX12	 
Tgf beta	group	1.74E-03	ANGPTL4,CASP1,CCN2,CFLAR,DAB2,FSTL1,FSTL3,ID3,IL1B,IL1RN,MUC1,MXD1,RYR3,TIMP3,VTN	203 (19)
IRF2	transcription regulator	1.80E-03	C1S,CASP1,CEACAM1,CTSS,DUSP5,IFI35,IL1B,OAS1,SRXN1	69 (10)
CTNNB1	transcription regulator	1.82E-03	ADGRG2,ARHGDIA,CCN2,CEACAM1,ECM1,EDIL3,ELMO1,EOMES,FAS,FASN,FSTL3,GLI1,GPR1,HHIP,HMGCS1,ID3,ID4,IHH,IL1B,ITGB2,LGR5,LMO2,PHLDA2,RAD23A,SAA1,SCD,SLC38A5,SOX2,TGM1,TIMP3,VAV1	143 (16)
RCE1	peptidase	1.83E-03	CCN5,CRABP1,CRYAB,FSTL1,HBEGF	124 (7)
laminaran	chemical drug	1.83E-03	CLDN1,IL1B,IL7R,OLR1,TNFRSF9	 
STAT2	transcription regulator	1.86E-03	GLI1,IFI35,IFI6,IFIT3,OAS1,RTP4	106 (14)
CXCL8	cytokine	1.86E-03	CFLAR,CPE,FAS,IL1B,ITGB2,SOX2,SREBF1	136 (16)
IL22	cytokine	1.90E-03	CD274,CLDN1,GRPR,HBEGF,HLA-B,IL1B,LOR,MUC1,SAA1	145 (12)
NR3C1	ligand-dependent nuclear receptor	1.91E-03	ANGPTL4,BIRC3,C1QTNF2,CASP10,CD83,CRYAB,DDIT4,EFNA1,EMP1,IFI6,IL15RA,IL1B,IL7R,ITGB2,LOR,LYST,NTF3,OLR1,PDCD1LG2,PHLDA2,RBMS3,TIMP3,TNFAIP1,TNFAIP2,TNFRSF9,TP53I3,VGLL2	210 (17)
HSD17B4	enzyme	1.91E-03	FASN,GLI1,IHH,MGLL	 
WP1066	chemical drug	1.92E-03	CD274,IL1B,PDCD1LG2	118 (13)
L1CAM	other	1.92E-03	ARHGDIA,IL1B,LGR5	 
NRG4	growth factor	1.92E-03	FASN,SCD,SREBF1	 
CDN1163	chemical reagent	1.92E-03	FASN,SCD,SREBF1	 
H2AFY	other	2.00E-03	ASB2,CITED2,FASN,FGF1,FSTL3,KRT23,SOX2	 
KLF2	transcription regulator	2.12E-03	CCN2,ECM1,EFNA1,ID3,IL1B,IL7R,ITGB2,PROS1,SLCO2A1,SREBF1,VAV1	121 (9)
3-deazaneplanocin	chemical drug	2.20E-03	CD274,DUSP4,FAS,FBXO32,SOX12,TIMP3	 
seocalcitol	chemical drug	2.20E-03	ANKRD1,AREG,CEACAM1,ERG,KRT4,TFAP4	 
MST1	growth factor	2.22E-03	CCN2,FAS,GPC3,IL1RN	145 (13)
CHUK	kinase	2.35E-03	ATF3,FAS,GBP3,IFI35,IL1B,IL1RN,MXD1,MYH2,NOCT,RELB,TIMP3,TNFAIP2	173 (14)
IRF4	transcription regulator	2.38E-03	CASP10,CFLAR,CTSS,EOMES,IL15RA,IL1B,IL1RN,IL7R,OAS1,TNFRSF9	185 (14)
OSMR	transmembrane receptor	2.39E-03	BIRC3,CFLAR,FASN,OAS1,SCD,SREBF1	116 (12)
CRY2	enzyme	2.45E-03	DBP,IHH,IL1B	17 (3)
ALK	kinase	2.45E-03	CD274,GLI1,SOX2	 
CRY1	enzyme	2.45E-03	DBP,IHH,IL1B	 
CG	complex	2.47E-03	AKR1B10,AKR1C3,AREG,CTSV,DMD,EMP1,EPHA3,FAS,FHL1,FJX1,GPC1,IFIT3,IL1B,MVK,SPRY2,SREBF1,SRXN1	86 (8)
Ige	complex	2.54E-03	AREG,ASB2,CEACAM1,DUSP4,EBI3,ELMO1,FAS,GDF15,HBEGF,IL1B,IL7R,NABP1,RELB,SCD,SERPINB6,TNFRSF9	152 (15)
NR1I3	ligand-dependent nuclear receptor	2.56E-03	FASN,INSIG1,MAFF,PAPSS2,PGD,SCD,SREBF1,TNFAIP2	86 (9)
TGFB2	growth factor	2.56E-03	ANGPTL4,CCN2,CFLAR,CNN1,FAS,HBEGF,ID4,SCD	209 (21)
TLR9	transmembrane receptor	2.58E-03	ATF3,CD274,CD83,EBI3,FAS,IFI35,IFIT3,IL1B,IL21R,ISG20,LYST,SMPDL3B,ST3GAL5	124 (16)
PPARA	ligand-dependent nuclear receptor	2.65E-03	ANGPTL4,ARHGDIA,C1S,CEACAM1,FADS2,FASN,GPD1,HMGCS1,IL1B,IL1RN,INSIG1,KRT23,LOR,MGLL,MVK,NCF2,PBLD,SAA1,SCD,SREBF1	111 (15)
ATP	chemical - endogenous mammalian	2.71E-03	CASP1,CD83,CLDN1,HBEGF,IL1B,IL1RN,SREBF1,TUBB3	150 (18)
PFKFB4	kinase	2.72E-03	TKT,XDH	49 (6)
SUFU	transcription regulator	2.72E-03	GLI1,HHIP	127 (8)
PSME3	peptidase	2.72E-03	FASN,SREBF1	64 (10)
LSINCT5	other	2.72E-03	CASP1,IL1B	 
GNPAT	enzyme	2.72E-03	IL1B,UGT8	 
marimastat	chemical drug	2.72E-03	HBEGF,MICB	 
rubitecan	chemical drug	2.72E-03	CFLAR,FAS	81 (7)
TSC1	other	2.80E-03	CASP1,CCN2,CRYAB,FASN,LGR5,SREBF1	163 (18)
AR	ligand-dependent nuclear receptor	2.80E-03	ACBD7,AKR1C3,ANKRD1,ATP13A4,AZGP1,CACNA1A,CEND1,CFLAR,DDIT4,ELMO1,GDF15,GPD1,MUC1,PROS1,PSCA,SCEL,SLC38A5,SLC7A11,TIMP3,TNFAIP2,TUBB3	131 (9)
TLR7	transmembrane receptor	2.84E-03	ATF3,CD274,CD83,CPA4,CREB5,GNG2,IFI35,IFIT3,IL1B,IL21R,ISG20,TMEM154	120 (16)
AGT	growth factor	2.99E-03	ACE2,ATF3,CCN2,CREB5,CTSS,CYP2J2,DAB2,FASN,HBEGF,HMGCS1,HSPA1A/HSPA1B,ID3,IL1B,LZTS3,MAP1LC3A,NCF2,NMNAT2,OLR1,SLC9A8,TUBB3	184 (20)
MYOC	other	2.99E-03	DAB2,DDIT4,FBXO32,HHIP,PHLDA2,PLP1,SLC7A11	 
RARG	ligand-dependent nuclear receptor	2.99E-03	AREG,ATP6V0A4,CCN2,CRYAB,GJB4,SOX2,STRA6	98 (10)
ETS1	transcription regulator	3.06E-03	ARHGDIB,CASP1,CCN2,CITED2,HSPA1A/HSPA1B,IL7R,INSIG1,ITGB2,PHLDA2,SERPINB6,TRPC1,ULBP2	 
N(2)-(gamma-D-glutamyl)-meso-2,2'-diaminopimelic acid	chemical reagent	3.07E-03	CASP1,IL1B,ITGB2	86 (7)
galactose	chemical - endogenous mammalian	3.07E-03	FASN,GPD1,SREBF1	134 (13)
IFNAR2	transmembrane receptor	3.07E-03	IFI6,LAMP3,OAS1,TRIM22,UBD	122 (13)
stallimycin	biologic drug	3.07E-03	IFI6,IFIT3,IL1B,IL7R,OAS1	104 (11)
Immunoglobulin	complex	3.13E-03	AREG,BIRC3,CAPG,CD274,CD83,DUSP4,EBI3,FAS,FASN,FBP1,FOSB,IFIT3,IL1B,IL1RN,IL7R,MAFF,NCF2,PHKB,RELB,SCD,SOX2,UBD	189 (17)
SOCS1	other	3.17E-03	CFLAR,FAS,IFIT3,IL1B,ISG20,MUC1,OAS1,TRIM22,VAV1	151 (17)
IKBKG	kinase	3.17E-03	BIRC3,CFLAR,GBP3,IL1B,IL1RN,NOCT,RELB,TNFAIP2,TRPC1	175 (16)
NFE2L2	transcription regulator	3.18E-03	ACE2,AKR1B10,ATF3,CCN2,IL1B,IL1RN,MAFF,MAP1LC3A,MGLL,NCF2,NOCT,OSGIN1,PGD,RYR3,SAA1,SLC7A11,SREBF1,SRXN1,TKT	149 (13)
ATP-gamma-S	chemical reagent	3.26E-03	AREG,CD33,CD83,IL15RA,IL7R,NCF2	115 (11)
bexarotene	chemical drug	3.33E-03	AKR1C1/AKR1C2,AKR1C3,CRABP1,DDIT4,DUSP5,EMX1,IL1B,MAFF,PTOV1,SCD,TUBB3	25 (3)
CHADL	other	3.35E-03	CRYAB,CSPG4,FAS,IHH	 
NFIL3	transcription regulator	3.35E-03	EOMES,FAS,FASN,SCD	113 (15)
KAT2B	transcription regulator	3.38E-03	CCN2,FASN,FOSB,GLI1,HLA-B	141 (15)
3,3'-diindolylmethane	chemical drug	3.51E-03	ATF3,FAS,FASN,GDF15,HLA-B,IL1B	180 (16)
SATB1	transcription regulator	3.55E-03	CEACAM1,DUSP4,EBI3,FOSB,GDF15,ID3,IL7R,RELB,TMEM117,TRIM22	107 (11)
GDF2	growth factor	3.61E-03	CRABP1,CRYAB,ID3,LOR,NTF3,SLC18A3,TUBB3	 
lysophosphatidylinositol	chemical - endogenous mammalian	3.70E-03	CASP1,CD274,IL1B,INSIG1,OLR1	 
PPRC1	transcription regulator	3.70E-03	CLDN1,DDIT4,DUSP5,GDF15,TMEM154	 
MED13	transcription regulator	3.70E-03	ANKRD1,FASN,GPD1,SCD,TKT	 
n-3 fatty acids	chemical drug	3.70E-03	FADS2,FASN,IL1B,SCD,SREBF1	62 (9)
HTT	transcription regulator	3.73E-03	AKAP12,ATF3,CASP1,CCN2,CITED2,CLDN1,COL16A1,CRYAB,DBP,DUSP5,FASN,FGF1,FHL1,GNAL,GPC1,HBEGF,HMGCS1,KCNB1,MOBP,RXRG,SFPQ,SLC18A3,SLC25A22,TFAP2C,TIMP3,VAMP1,VIPR2	168 (18)
BTK	kinase	3.76E-03	CD274,EMP1,IFI35,IFIT3,IL1B,IL21R,ISG20,RELB	159 (15)
orotic acid	chemical - endogenous mammalian	3.78E-03	FASN,SCD,SREBF1	37 (5)
amphotericin B	chemical drug	3.78E-03	IL1B,IL1RN,NTF3	 
TNFAIP2	other	3.78E-03	CITED2,IL15RA,ISG20	 
Z-551	chemical reagent	3.78E-03	FASN,IL1B,SREBF1	 
CTLA4	transmembrane receptor	3.78E-03	CD83,EBI3,LAMP3,PADI2,STX11,TENT5C	 
TRAF6	enzyme	3.78E-03	BIRC3,CD274,IL1B,NCF2,RELB,UBD	143 (16)
LPIN1	phosphatase	3.80E-03	FASN,IL1B,SCD,SREBF1	146 (16)
LLGL2	other	3.80E-03	ANKRD1,CCN2,FSTL1,ITGB2	 
MLXIPL	transcription regulator	3.80E-03	FASN,GPD1,MID1IP1,SCD	46 (6)
AG490	chemical - kinase inhibitor	3.84E-03	ACHE,AKR1C3,BIRC3,IL1B,LMO2,LY96,SAA1	 
CpG ODN 2006	chemical reagent	3.84E-03	BIRC3,IFI35,IFI6,IFIT3,IL1B,ISG20,OAS1	114 (15)
TGM2	enzyme	3.94E-03	BIRC3,CEACAM1,CFLAR,HLA-B,IFI35,IFI6,IFIT3,IL1B,NCF2,OAS1,TNFAIP2,TRIM22	116 (8)
cigarette smoke	chemical toxicant	4.02E-03	AKR1B10,AREG,DDIT4,DFFB,HSPB2,IL1B,MAFF,MAP1LC3A,MUC1,OAS1,PGD,SREBF1,XDH	166 (20)
HDL	complex	4.05E-03	ATF3,IL1B,INSIG1,ITGB2,SREBF1	119 (17)
TICAM1	other	4.19E-03	CFLAR,FAS,GDF15,IFIT3,IL15RA,IL1B,ISG20,MAFF,RELB	156 (19)
tamoxifen	chemical drug	4.26E-03	CCDC80,CFLAR,CPE,FADS2,FASN,GDF15,HMGCS1,HOTAIR,IL1RN,ISG20,MAFF,SAMD11,SCD,SREBF1	150 (19)
KDM3A	transcription regulator	4.29E-03	ARHGEF28,FSTL3,GDF15,GNG2	 
DDX58	enzyme	4.35E-03	GBP3,IFI35,IFIT3,IL1B,ISG20,OAS1	118 (16)
IKZF3	transcription regulator	4.35E-03	CITED2,IFI6,IFIT3,MGLL,PROS1,RTP4	 
MTOR	kinase	4.36E-03	CASP1,CD274,CFLAR,CITED2,DDIT4,DMD,EFNA1,EOMES,FAF1,FASN,FBXO32,IL1B,MUC1,OAS1,PLP1,SREBF1	176 (20)
Mek	group	4.38E-03	CCN2,CRYAB,DUSP4,DUSP5,FASN,GDF15,IL1B,MAFF,PHLDA2,PMEL,SPRY2,TFAP2C	162 (17)
mir-8	microRNA	4.39E-03	ATF3,CITED2,GJB3,HDAC4,HOTAIR,IL1B,SOX2,SOX2-OT,SPRY2	 
SQSTM1	transcription regulator	4.42E-03	CITED2,HBEGF,IL15RA,IL1B,MAP1LC3A	149 (13)
salicylic acid	chemical drug	4.42E-03	CCN2,CFLAR,GDF15,IL1B,OLR1	151 (17)
beta-glucan	chemical drug	4.48E-03	IL1B,IL1RN	 
FA2H	enzyme	4.48E-03	FASN,SCD	46 (6)
PNU282987	chemical reagent	4.48E-03	FASN,SREBF1	96 (7)
HU-210	chemical reagent	4.48E-03	FASN,SREBF1	137 (11)
RFXANK	transcription regulator	4.48E-03	EPHA3,HLA-B	 
GYS2	enzyme	4.48E-03	FASN,SREBF1	61 (7)
cimetidine	chemical drug	4.48E-03	FAS,GDF15	 
IRF3	transcription regulator	4.52E-03	BIRC3,CD274,FAS,FGF1,IFI6,IFIT3,IL1B,ISG20,OAS1,TFAP2C,TIMP3	149 (17)
GSTP1	enzyme	4.55E-03	DIO3,IL1B,IL31RA,KRT83,KRTAP2-3/KRTAP2-4,KRTAP3-1,PRR9,SERPINB7,SLC7A11,TEF	 
FCGR1A	transmembrane receptor	4.57E-03	IL1B,IL1RN,ITGB2	86 (7)
CR2	transmembrane receptor	4.57E-03	CFLAR,FAS,IL1B	160 (20)
ACACB	enzyme	4.57E-03	FASN,SCD,SREBF1	139 (16)
MAML1	transcription regulator	4.57E-03	HEYL,IL1B,IL7R	78 (9)
PCYT2	enzyme	4.57E-03	FASN,SCD,SREBF1	 
GnRH-A	chemical reagent	4.66E-03	AKR1B10,ATF3,CGB3 (includes others),FOSB,MAZ,MVK	 
PTEN	phosphatase	4.76E-03	AKR1C3,ARHGDIA,ATF3,CD274,CITED2,COQ10A,CTSV,FAS,FASN,FGF1,GNG2,GPR137C,HSPA1A/HSPA1B,HSPB2,ID4,IFT88,IL1B,LGR5,PSCA,SCD,SPRY2,SQOR,SREBF1,TNFAIP1,TNFRSF9	186 (24)
DGCR8	enzyme	4.82E-03	CNN1,CRABP1,ID4,PLP1,SOX2	 
APOA1	transporter	4.82E-03	ATF3,IL1B,INSIG1,SREBF1,XDH	117 (16)
9,10-dimethyl-1,2-benzanthracene	chemical toxicant	4.82E-03	AREG,CCDC80,HBEGF,IL1B,LOR	144 (11)
ATF3	transcription regulator	4.85E-03	ATF3,BIRC3,CD83,FBP1,HSPB2,IL1B,TP53I3	153 (17)
MTORC1	complex	5.24E-03	FASN,INSIG1,PLP1,SCD,SREBF1	148 (17)
HMGA1	transcription regulator	5.24E-03	CPE,CRYAB,DAB2,FSTL1,ID3,INSIG1,MVK,PHLDA2,TFAP2C	 
EZR	other	5.39E-03	ATF3,DDIT4,FAS,IL1B	156 (19)
NPPB	other	5.39E-03	CASP1,CCN2,HMGCS1,IL1B	74 (7)
fontolizumab	biologic drug	5.47E-03	FAS,IFI35,IL15RA	 
UCP2	transporter	5.47E-03	FASN,IL1B,SCD	161 (22)
latrunculin B	chemical reagent	5.47E-03	CCN2,CNN1,DMD	 
clenbuterol	chemical drug	5.47E-03	FBXO32,IL1B,IL1RN	 
SP600125	chemical - kinase inhibitor	5.56E-03	AKR1C3,ATF3,CCN2,CD83,CSPG4,DDIT4,FAS,FASN,FGF1,FOSB,HSPB2,IL1B,SCD,SREBF1	144 (21)
ERG	transcription regulator	5.62E-03	BIRC3,DAAM1,DYDC1,ELMO1,ERG,FHL1,FOSB,GFRA3,RASSF1,RHOBTB1,RYR3	 
bromodeoxyuridine	chemical drug	5.68E-03	IFI6,IFIT3,IL1B,IL7R,OAS1	104 (11)
NOG	growth factor	5.68E-03	CCN2,FAS,ID3,ID4,LOR	107 (11)
isotretinoin	biologic drug	5.70E-03	FASN,IFIT3,KLK5,OAS1,OLR1,TNFAIP2	 
ANGPT2	growth factor	5.83E-03	CRYAB,FAS,HDAC4,HMGCS1,HSPA1A/HSPA1B,HSPB2,IL1B,OLR1,PROS1,SRXN1,TUBB3	135 (9)
SNAI1	transcription regulator	5.95E-03	ANKRD1,CCN2,CLDN1,FASN,GDF15,GLI1,ID4,MUC1,SOX2	177 (13)
dihydrotestosterone	chemical - endogenous mammalian	6.03E-03	AREG,AZGP1,CASP1,CCN2,EFNA1,FAM111B,FASN,FBXO32,GPD1,HSPA1A/HSPA1B,MAFF,MGLL,MUC1,PROS1,RAD23A,SCD,SERPINB6,SLC7A7,SREBF1,TGM4,TIMP3,TKT	192 (20)
cephaloridine	chemical drug	6.06E-03	AKR1B10,ANGPTL4,CCN2,DDIT4,HSPA1A/HSPA1B,RND1,STRA6	 
IFI16	transcription regulator	6.07E-03	AREG,FAF1,IL1B,IL1RN,IL7R,OAS1	136 (15)
TCF7L2	transcription regulator	6.14E-03	CAMK2N1,CCN2,CCN5,CREB5,FBP1,FBXO32,HHIP,ID3,ID4,MOBP,PLP1,SLC44A1,SOX2,SYTL2,UGT8	130 (7)
CASP8	peptidase	6.15E-03	CASP1,CFLAR,FAS,IL1B,LOR	147 (18)
RGS10	other	6.15E-03	CASP1,FAS,IL1B,ITGB2,XCR1	 
RUNX3	transcription regulator	6.18E-03	CCN2,CFLAR,EOMES,FSTL1,IL1B,REEP1,RHOBTB1,ST3GAL5	11 (2)
Sb202190	chemical - kinase inhibitor	6.18E-03	ANGPTL4,CCN2,EBI3,IL1B,LOR,MAP1LC3A,TGM1,XDH	177 (21)
HOXA10	transcription regulator	6.22E-03	CTSV,DBP,DHRS9,ERG,FAF1,KRT4,NCF2,PROS1,SCD,XDH	 
IL18	cytokine	6.22E-03	ATF3,CD83,CFLAR,DDIT4,FAS,IL1B,RAET1G,RAET1L,ULBP2,ZBED2	161 (18)
NRG1	growth factor	6.23E-03	ACHE,ANKRD1,CCN2,DAB2,DUSP4,FGF1,FOSB,FSTL1,ITGB2,MGLL,NR4A3,SOX2,TNFAIP1	162 (19)
APP	other	6.31E-03	ACHE,APBB1,C1S,CCN2,CFLAR,CITED2,CLDN1,CRABP1,CTSV,EOMES,FOSB,GDF15,GNG2,GPC1,HDAC4,HECW1,HSPA1A/HSPA1B,IFI35,IL1B,ISG20,KCNB1,MAFF,MAP6,NTF3,OLR1,RTP4,RYR3,SLC7A11,ST3GAL5,TNFAIP2,TUBB2A,TUBB3	183 (17)
CAMP	other	6.39E-03	CD83,EPHA3,HBEGF,IL1B,IL1RN,ITGB2,TNFAIP2	169 (19)
EZH2	transcription regulator	6.45E-03	ATF3,BIRC3,CPA6,DUSP5,EFNA1,EOMES,GDF15,HCP5,HOTAIR,HOXD1,LOR,PLEKHA6,SAA1,SLC7A11,TIMP3,UBD	 
Pdgf Ab	complex	6.45E-03	AREG,HBEGF,SCD	 
PARG	enzyme	6.45E-03	DNAJC12,GDF15,IL1B	 
LYL1	transcription regulator	6.45E-03	ERG,ID3,ID4	 
FMO3	enzyme	6.45E-03	FASN,SCD,SREBF1	103 (7)
ATR	kinase	6.45E-03	FAS,MICB,ULBP2	87 (7)
acadesine	chemical drug	6.45E-03	DUSP4,FASN,SREBF1	147 (16)
resiquimod	chemical drug	6.46E-03	ATF3,CD83,CREB5,EBI3,FAS,GDF15,GNG2,IL1B,SFPQ,TMEM154	147 (18)
BICC1	other	6.62E-03	AREG,HBEGF	 
CERS5	transcription regulator	6.62E-03	CASP1,IL1B	 
YOD1	enzyme	6.62E-03	ANKRD1,CCN2	 
AMER1	other	6.62E-03	AREG,LGR5	 
ghrelin	biologic drug	6.62E-03	FASN,SCD	 
CSE1L	transporter	6.62E-03	RASSF1,TP53I3	 
MEFV	other	6.62E-03	CASP1,IL1B	81 (7)
mir-140	microRNA	6.62E-03	HDAC4,SOX2	 
Irs3	other	6.62E-03	FASN,SREBF1	131 (10)
Nisch	other	6.62E-03	FAS,SREBF1	103 (7)
EFNB1	other	6.62E-03	CFLAR,IL7R	 
EFEMP2	other	6.62E-03	CCN2,FBLN5	 
Fructus xanthii aqueous extract	chemical - endogenous non-mammalian	6.62E-03	FASN,SCD	 
Gm35986	other	6.62E-03	HMGCS1,MVK	 
edelfosine	chemical drug	6.62E-03	ATF3,ERG	 
NR1H2	ligand-dependent nuclear receptor	6.74E-03	FASN,GLI1,IL1B,IL1RN,SCD,SREBF1,TNFRSF9	152 (22)
tanespimycin	chemical drug	6.78E-03	BIRC3,CFLAR,FAS,FASN,HMGCS1,HSPA1A/HSPA1B,SCD,SREBF1	123 (13)
cisplatin	chemical drug	6.94E-03	AKR1C1/AKR1C2,ANKRD1,ASRGL1,ATF3,BIRC3,C11orf96,CASP1,CCN2,CFLAR,DDIT4,DNAH5,DRAM1,FAS,FASN,GDF15,HDAC9,HEYL,HMGCS1,IFI6,IL1B,LINC00337,MEGF6,NCF2,RFTN1,TIMP3,TP53I3,TRIM22,ZNF219	156 (17)
CREB1	transcription regulator	7.06E-03	ACHE,ATF3,BPIFC,CNN1,EBI3,ECM1,EDIL3,EXOSC6,FASN,FOSB,GNAL,HMGCS1,IL1B,LOR,MCTP1,MTSS1,MVK,NR4A3,PLCXD2,RASGRF1,SCD,SRXN1	151 (12)
INSIG1	other	7.10E-03	FADS2,FASN,HMGCS1,MVK,OLR1,SCD,SREBF1	126 (10)
GW501516	chemical drug	7.10E-03	ANGPTL4,FASN,GPD1,IL1B,KRT4,SAA1,SCD	134 (17)
5-azacytidine	chemical drug	7.31E-03	CLDN1,GDF15,GJB3,HBEGF,IFI6,MAFF,RASSF1,RPS6KA6,SERPINB8	 
TEAD4	transcription regulator	7.32E-03	CCN2,EOMES,FJX1,PDGFRL,RHOBTB1,TFAP2C	 
mir-29	microRNA	7.32E-03	ANGPTL4,CLDN1,EOMES,KREMEN2,OLR1,TIMP3	84 (6)
DYSF	other	7.32E-03	ANKRD1,CD83,CTSS,CTSV,HSPA1A/HSPA1B,PROS1	 
EP300	transcription regulator	7.45E-03	ACHE,AKAP12,CAPG,CFLAR,DUSP4,FASN,GNG2,HLA-B,ID3,IL15RA,IL7R,ITGB2,LOR,OLR1,RTP4,SLC7A11,SOX2,TNFAIP1	199 (19)
camptothecin	chemical drug	7.49E-03	ARHGDIA,ATF3,BIRC3,CASP1,CD83,CFLAR,FAS,FOSB,HBEGF,HLA-B,ID3,IL15RA,IL1B,INSIG1,MAFF,PHLDA2,PSD4,SAA1,SPRY2,STX11,TNFAIP1,TP53I3,TUBB2A	161 (17)
ITCH	enzyme	7.54E-03	CCN2,CFLAR,IL1B	152 (17)
NUMB	other	7.54E-03	BIRC3,CFLAR,PSCA	50 (6)
MTM1	phosphatase	7.54E-03	CTSV,FBXO32,MAP1LC3A	 
EMD	other	7.54E-03	LOR,SOX2,TGM1	 
cuprizone	chemical toxicant	7.54E-03	CSPG4,IL1B,PLP1	 
diethylmaleate	chemical toxicant	7.54E-03	IL1B,SLC7A11,SREBF1	52 (4)
ERK	group	7.62E-03	AREG,CCN2,CFLAR,DIO3,FAS,GDF15,HBEGF,IL1B,INPP1,ITGB2,MAFF,MUC1	169 (15)
CLEC4G	other	7.73E-03	AREG,CCN2,FGF1,HBEGF,IL1B	 
NCOR2	transcription regulator	7.73E-03	BIRC3,CTSS,HBEGF,IL1B,RELB	185 (18)
IL32	cytokine	7.73E-03	CASP1,FAS,IL1B,ITGB2,ULBP2	130 (16)
FOSL2	transcription regulator	7.73E-03	CYP2J2,FAS,IL1B,LOR,RELB	127 (7)
EFNA2	kinase	7.73E-03	CCN2,DUSP4,KRT13,KRT4,TGM1	 
Gsk3	group	7.77E-03	CFLAR,FASN,FOSB,GDF15,IL1B,SREBF1	190 (19)
SOX3	transcription regulator	7.77E-03	DUSP4,DUSP5,EOMES,GBP3,SOX2,SOX2-OT	 
ciglitazone	chemical drug	7.77E-03	CFLAR,GPD1,MUC1,MXD1,OLR1,TGM1	72 (7)
NFKBIA	transcription regulator	7.79E-03	ANKRD1,AZGP1,BIRC3,CFLAR,CRYAB,EOMES,FAS,GBP3,IFI6,IL15RA,IL1B,IL1RN,IL7R,NOCT,RELB,TIMP3,TNFAIP2,TRPC1	178 (15)
EGR1	transcription regulator	8.04E-03	ACHE,AREG,ATF3,DUSP4,FAS,GDF15,GLI1,HBEGF,IL1B,MXD1	197 (21)
PGF	growth factor	8.14E-03	ANGPTL4,CASP1,FOSB,IL1B	88 (8)
4-methylnitrosoamino-1-(3-pyridinyl)-1-butanone	chemical toxicant	8.14E-03	FASN,HTRA3,TKT,TP53I3	128 (7)
NCOA3	transcription regulator	8.24E-03	CCDC80,EOMES,FASN,SREBF1,TKT,XDH	149 (18)
KLF6	transcription regulator	8.24E-03	ATF3,CGB3 (includes others),GLI1,IL1B,KRT4,PDCD1LG2	81 (7)
MAP2K4	kinase	8.31E-03	ATF3,BIRC3,CFLAR,FAS,TUBB2A	153 (17)
SCD	enzyme	8.31E-03	ANGPTL4,ATF3,FASN,IL1B,SREBF1	184 (21)
IL10RA	transmembrane receptor	8.43E-03	DDIT4,DRAM1,ECM1,FAS,FHL1,FSTL1,IL15RA,IL1B,IL1RN,OLR1,PDCD1LG2,SCIN,SERPINB6,SLC7A11	64 (7)
mir-223	microRNA	8.47E-03	ABCA13,CD274,EMP1,HMGCS1,IL1B,IL1RN,LMO2,LY96	 
RARB	ligand-dependent nuclear receptor	8.47E-03	ATP6V0A4,CRYAB,GJB4,ID3,IL1B,SOX2,STRA6,TGM1	113 (13)
ssRNA40	chemical reagent	8.73E-03	CD83,EBI3,IL1B	61 (7)
CYB5R4	enzyme	8.73E-03	ATF3,FASN,SCD	46 (6)
HRG	other	8.73E-03	CD83,MUC1,TIMP3	 
W7	chemical reagent	8.73E-03	BIRC3,CD83,DUSP4	 
zymosan A	chemical - endogenous non-mammalian	8.73E-03	FAS,IL1B,SAA1	132 (10)
farnesol	chemical reagent	8.73E-03	ATF3,LOR,PHLDA2	 
1810019D21Rik	other	8.92E-03	AREG,ITGB2,PADI1,SLC7A11,SQOR	 
TCF12	transcription regulator	8.92E-03	AZGP1,CD33,IL7R,NR4A3,TNFAIP1	 
thalidomide	chemical drug	8.94E-03	BIRC3,CFLAR,GDF15,IL1B	143 (17)
CDKN1A	kinase	9.01E-03	CCN2,CRYAB,EOMES,FAS,HSPA1A/HSPA1B,IL1B,LOR,SAA1,TGM1,TP53I3,TUBB3	158 (18)
PRL	cytokine	9.07E-03	AKR1C3,CAMK2N1,CTSS,CTSV,ECM1,ID3,IFI35,IFI6,IFIT3,LAMP3,OAS1,PHLDA2,XDH	125 (15)
fatty acid	chemical - endogenous mammalian	9.12E-03	FADS2,FASN,IL1B,NR4A3,SCD,SREBF1,ST3GAL5	126 (18)
