Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
"Hereditary Disorder,Immunological Disease,Organismal Injury and Abnormalities"	Autosomal recessive familial hemophagocytic lymphohistiocytosis type 4	6.08E-03	STX11	1
"Cell Morphology,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Cell spreading of bone marrow-derived macrophages	6.08E-03	VTN	1
"Cellular Compromise,Cellular Function and Maintenance,Organismal Injury and Abnormalities"	Endoplasmic reticulum stress response of retinal rods	6.08E-03	OPN1SW	1
Cell Death and Survival	Cell viability of bronchial epithelial cells	6.08E-03	UBD	1
"Energy Production,Lipid Metabolism,Small Molecule Biochemistry"	"Epoxidation of 11,12-epoxyeicosatrienoic acid"	6.08E-03	CYP2J2	1
"Cell-To-Cell Signaling and Interaction,Inflammatory Response"	Immune response of myeloma cell lines	6.08E-03	PDCD1LG2	1
Cell-To-Cell Signaling and Interaction	Attachment of blood platelets	6.08E-03	ACE2	1
"Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization,Skeletal and Muscular System Development and Function"	Delay in initiation of fusion of muscle cell lines	6.08E-03	ASB2	1
Inflammatory Response	Pus	6.08E-03	ITGB2	1
"Hereditary Disorder,Organismal Injury and Abnormalities"	ABCA4-related disorder	6.08E-03	ABCA4	1
"Connective Tissue Development and Function,Reproductive System Development and Function"	Decidualization of endometrial stromal cells	6.08E-03	TGM1	1
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Interaction of neutrophils	6.08E-03	SAA1	1
"Hereditary Disorder,Immunological Disease,Organismal Injury and Abnormalities"	IL21R immunodeficiency	6.08E-03	IL21R	1
"Cell-To-Cell Signaling and Interaction,Nervous System Development and Function"	Miniature end-plate potential of neuromuscular junctions	6.08E-03	SLC18A3	1
"Cellular Development,Tissue Development"	Differentiation of epithelial stem cells	6.08E-03	IHH	1
"Cancer,Dermatological Diseases and Conditions,Developmental Disorder,Hematological Disease,Hereditary Disorder,Immunological Disease,Metabolic Disease,Organismal Injury and Abnormalities"	Primary localized cutaneous amyloidosis type 2	6.08E-03	IL31RA	1
Cellular Assembly and Organization	Quantity of mucigen granules	6.08E-03	SYTL2	1
"Energy Production,Lipid Metabolism,Small Molecule Biochemistry"	"Epoxidation of 8,9-epoxyeicosatrienoic acid"	6.08E-03	CYP2J2	1
Cellular Function and Maintenance	Elimination of colorectal cancer cell lines	6.08E-03	RXRG	1
"Connective Tissue Disorders,Developmental Disorder,Organismal Injury and Abnormalities"	Elastinopathy	6.08E-03	FBLN5	1
"Cell-To-Cell Signaling and Interaction,Inflammatory Response"	Cytotoxic T lymphocyte response by monocyte-derived dendritic cells	6.08E-03	MUC1	1
Cell Morphology	Elongation of chondrocytes	6.08E-03	IHH	1
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Conversion of 9-cis-retinal	6.08E-03	RDH16	1
"Carbohydrate Metabolism,Energy Production,Small Molecule Biochemistry"	Oxidation of 2-deoxyglucose	6.08E-03	AZGP1	1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Autosomal recessive acrocapitofemoral dysplasia	6.08E-03	IHH	1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Episodic ataxia type 2 and epilepsy	6.08E-03	CACNA1A	1
"Cardiovascular System Development and Function,Embryonic Development,Organismal Development,Tissue Development"	Vasculogenesis of epiblast	6.08E-03	IHH	1
"Cell Morphology,Organ Morphology,Skeletal and Muscular System Development and Function,Tissue Morphology"	Morphology of fast twitch oxidative muscle fibers	6.08E-03	MYH2	1
"Connective Tissue Disorders,Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities"	Autosomal dominant cutis laxa type 2	6.08E-03	FBLN5	1
"Cancer,Cellular Development,Cellular Growth and Proliferation,Hematological Disease,Organismal Injury and Abnormalities,Tumor Morphology"	Arrest in growth of acute myeloid leukemia blast cells	6.08E-03	MUC1	1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Sporadic hemiplegic migraine with progressive cerebellar ataxia	6.08E-03	CACNA1A	1
"Cell Morphology,Tissue Morphology"	Volume of leukemia cell lines	6.08E-03	SCIN	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Translocation of galactosylceramide	6.08E-03	PLP1	1
Neurological Disease	Chronic progressive ataxia	6.08E-03	CACNA1A	1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities"	"Fructose-1,6-diphosphatase deficiency"	6.08E-03	FBP1	1
"Connective Tissue Development and Function,Organismal Development,Skeletal and Muscular System Development and Function,Tissue Morphology"	Mass of femoral subcutaneous fat	6.08E-03	RDH16	1
Cell Death and Survival	Killing of Yersinia pestis	6.08E-03	LY96	1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease"	Lysinuric protein intolerance	6.08E-03	SLC7A7	1
Cell Cycle	Endomitosis of monocytes	6.08E-03	TNFRSF9	1
"Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Susceptibility to age-related macular degeneration type 2	6.08E-03	ABCA4	1
"Cellular Development,Digestive System Development and Function,Tissue Development"	Differentiation of colonocytes	6.08E-03	IHH	1
"Hereditary Disorder,Neurological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Proximal myopathy and ophthalmoplegia	6.08E-03	MYH2	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Translocation of glucosylceramide	6.08E-03	PLP1	1
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities"	Erythrokeratodermia variabilis et progressiva 2	6.08E-03	GJB4	1
"Embryonic Development,Hematological System Development and Function,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development"	Formation of thymus medulla	6.08E-03	FOSB	1
"Organismal Development,Visual System Development and Function"	Delay in dark adaptation of mice	6.08E-03	ABCA4	1
Cellular Growth and Proliferation	Clonogenicity of fibrosarcoma cell lines	6.08E-03	EMILIN2	1
"Cellular Movement,Nervous System Development and Function"	Migration of superior cervical ganglion neurons	6.08E-03	GFRA3	1
"Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Retinitis pigmentosa type 19	6.08E-03	ABCA4	1
"Hereditary Disorder,Immunological Disease,Organismal Injury and Abnormalities"	Autosomal recessive leukocyte adhesion deficiency	6.08E-03	ITGB2	1
"Cellular Movement,Embryonic Development"	Distribution of mesodermal cells	6.08E-03	NR4A3	1
Cell Death and Survival	Cytolysis of neutrophils	6.08E-03	ITGB2	1
"Embryonic Development,Tissue Development"	Accumulation of mesoderm	6.08E-03	NR4A3	1
"Cell Morphology,Cellular Assembly and Organization,Nervous System Development and Function"	Structure of myelin sheath	6.08E-03	PLP1	1
Cellular Growth and Proliferation	Inhibition of Salmonella	6.08E-03	UBD	1
"Carbohydrate Metabolism,Lipid Metabolism,Small Molecule Biochemistry"	"Recruitment of phosphatidylinositol 4,5-diphosphate"	6.08E-03	VTN	1
"Embryonic Development,Organ Development,Organismal Development,Reproductive System Development and Function,Tissue Development"	Development of ampulla of seminal vesicle	6.08E-03	NR4A3	1
"Cell Morphology,Cellular Function and Maintenance"	Autophagy of thymoma cell lines	6.08E-03	DDIT4	1
"Ophthalmic Disease,Organismal Injury and Abnormalities"	Age-related macular degeneration type 3	6.08E-03	FBLN5	1
"Organ Morphology,Renal and Urological System Development and Function"	Quantity of mesangial matrix	6.08E-03	ACE2	1
"Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Organismal Development,Tissue Development"	Hematopoiesis of epiblast cells	6.08E-03	IHH	1
Tissue Development	Organization of elastic fibers	6.08E-03	FBLN5	1
Cellular Function and Maintenance	Maintenance of blood platelets	6.08E-03	ERG	1
"Embryonic Development,Hematological System Development and Function,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development"	Formation of thymus cortex	6.08E-03	FOSB	1
Neurological Disease	Degeneration of superior cervical ganglion	6.08E-03	GFRA3	1
"Endocrine System Disorders,Hereditary Disorder,Organismal Injury and Abnormalities,Reproductive System Disease"	Spermatogenic failure 25	6.08E-03	TEX15	1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Familial hemiplegic migraine type 1 with progressive cerebellar ataxia	6.08E-03	CACNA1A	1
"Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Tritan colorblindness	6.08E-03	OPN1SW	1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Immunological Disease,Inflammatory Disease,Inflammatory Response,Neurological Disease,Organismal Injury and Abnormalities,Renal and Urological Disease"	Medullary cystic kidney disease 1	6.08E-03	MUC1	1
Cell-To-Cell Signaling and Interaction	Binding of Helicobacter pylori	6.08E-03	VTN	1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Early infantile epileptic encephalopathy 42	6.08E-03	CACNA1A	1
"Cell Morphology,Hematological System Development and Function,Hematopoiesis"	Polarization of lymphoblasts	6.08E-03	ITGB2	1
"Hereditary Disorder,Immunological Disease,Organismal Injury and Abnormalities"	Elevated level of IgE	6.08E-03	IL21R	1
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities"	Erythrokeratodermia variabilis et progressiva 5	6.08E-03	KRT83	1
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Conversion of 9-cis-retinol	6.08E-03	RDH16	1
"Cellular Movement,Embryonic Development"	Positioning of endodermal cells	6.08E-03	DAB2	1
Hematological System Development and Function	Binding of serum	6.08E-03	VTN	1
"Endocrine System Disorders,Hereditary Disorder,Organismal Injury and Abnormalities,Reproductive System Disease"	Spermatogenic failure 23	6.08E-03	TEX14	1
"Cardiovascular Disease,Hematological Disease,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities"	Transient infantile hypertriglyceridemia	6.08E-03	GPD1	1
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Generation of vitamin A	6.08E-03	ABCA4	1
"Amino Acid Metabolism,Post-Translational Modification,Small Molecule Biochemistry"	Deamidation of glutamine	6.08E-03	TGM1	1
"Developmental Disorder,Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities"	Cone-rod dystrophy type 3	6.08E-03	ABCA4	1
"Carbohydrate Metabolism,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Quantity of N-retinylidene-phosphatidylethanolamine	6.08E-03	ABCA4	1
"Energy Production,Lipid Metabolism,Small Molecule Biochemistry"	Epoxidation of arachidonic acid	6.08E-03	CYP2J2	1
"Cellular Movement,Endocrine System Development and Function"	Migration of beta islet cells	6.08E-03	VTN	1
"Developmental Disorder,Endocrine System Disorders,Hereditary Disorder,Organismal Injury and Abnormalities,Reproductive System Disease"	X-linked congenital bilateral aplasia of vas deferens	6.08E-03	ADGRG2	1
"Dermatological Diseases and Conditions,Hereditary Disorder,Organismal Injury and Abnormalities"	Loricrin keratoderma	6.08E-03	LOR	1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders,Skeletal and Muscular Disorders"	Connatal Pelizaeus-Merzbacher disease	6.08E-03	PLP1	1
"Cell Morphology,Cellular Movement,Nervous System Development and Function"	Innervation of superior cervical ganglion neurons	6.08E-03	GFRA3	1
Cell Death and Survival	Killing of B lymphoblastoid cell lines	6.08E-03	RAET1L	1
Cellular Compromise	Degeneration of keratohyalin granules	6.08E-03	TGM1	1
"Cellular Assembly and Organization,Skeletal and Muscular System Development and Function"	Binding of sarcoplasmic reticulum	6.08E-03	CACNA1A	1
Post-Translational Modification	Esterification of protein	6.08E-03	TGM1	1
"Dental Disease,Developmental Disorder,Gastrointestinal Disease,Hereditary Disorder,Organismal Injury and Abnormalities"	Hypomaturation type amelogenesis imperfecta type IIA4	6.08E-03	ODAPH	1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Early infantile epileptic encephalopathy type 26	6.08E-03	KCNB1	1
"Developmental Disorder,Neurological Disease,Skeletal and Muscular Disorders"	Birk-Barel syndrome	6.08E-03	KCNK9	1
"Cell Death and Survival,Visual System Development and Function"	Delay in recovery of retinal rods	6.08E-03	ABCA4	1
"Cell Morphology,Cellular Function and Maintenance"	Autophagy of thymocytes	6.08E-03	DDIT4	1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Autosomal dominant episodic ataxia type 2	6.08E-03	CACNA1A	1
"Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities"	Persistent neutrophilia	6.08E-03	ITGB2	1
Nervous System Development and Function	Development of superior cervical ganglion	6.08E-03	GFRA3	1
Hair and Skin Development and Function	Stabilization of stratum corneum	6.08E-03	LOR	1
"Carbohydrate Metabolism,Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Transport of N-retinylidene-phosphatidylethanolamine	6.08E-03	ABCA4	1
"Lipid Metabolism,Small Molecule Biochemistry"	Upregulation of ceramide	6.08E-03	DDIT4	1
"Cardiovascular System Development and Function,Cell Death and Survival"	Survival of endothelial progenitor cells	6.08E-03	OLR1	1
Cellular Assembly and Organization	Stabilization of sarcolemma	6.08E-03	CTSS	1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders,Skeletal and Muscular Disorders"	Atypical Pelizaeus-Merzbacher disease	6.08E-03	PLP1	1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities"	Non-BH4-deficient mild hyperphenylalaninemia	6.08E-03	DNAJC12	1
Skeletal and Muscular System Development and Function	Progression of subperiosteal bony collar	6.08E-03	IHH	1
"Dermatological Diseases and Conditions,Hereditary Disorder,Organismal Injury and Abnormalities"	Autosomal recessive woolly hair 2	6.08E-03	LIPH	1
"Energy Production,Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism"	Oxidation of 13-cis-retinal	6.08E-03	RDH16	1
"Cellular Compromise,Inflammatory Response"	Degranulation of CD8+ T lymphocyte	6.08E-03	TNFRSF9	1
"Cardiovascular Disease,Cardiovascular System Development and Function,Hereditary Disorder,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	ANKRD1-related dilated cardiomyopathy	6.08E-03	ANKRD1	1
Cellular Assembly and Organization	Leakage of phosphatidylcholine-phosphatidylserine large unilamellar vesicle	6.08E-03	VTN	1
Cellular Function and Maintenance	Turnover of myofiber	6.08E-03	CTSS	1
"Developmental Disorder,Hereditary Disorder,Immunological Disease,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Presynaptic congenital myasthenic syndrome type 21	6.08E-03	SLC18A3	1
"Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Organismal Development,Tissue Development"	Growth of mesodermal cells	6.08E-03	NR4A3	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Translocation of lactosylceramide	6.08E-03	PLP1	1
"Nervous System Development and Function,Visual System Development and Function"	Delay in initiation of dark adaptation of eye	6.08E-03	ABCA4	1
"Lipid Metabolism,Molecular Transport,Small Molecule Biochemistry"	Concentration of 11-cis-retinal	6.08E-03	ABCA4	1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Hereditary spastic paraplegia X-linked	6.08E-03	PLP1	1
"Developmental Disorder,Endocrine System Disorders,Hereditary Disorder,Organismal Injury and Abnormalities,Reproductive System Disease"	Spermatogenic failure 14	6.08E-03	ZMYND15	1
"Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Hematopoiesis,Tissue Development"	Megakaryopoiesis of hematopoietic progenitor cells	6.08E-03	ERG	1
"Cellular Development,Cellular Growth and Proliferation,Hematological System Development and Function,Lymphoid Tissue Structure and Development"	Clonal expansion of Th2 cells	6.08E-03	PLP1	1
Cell Morphology	Architecture of filopodia	6.08E-03	DAAM1	1
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders"	Familial hypertrophic cardiomyopathy type 17	6.08E-03	JPH2	1
"Behavior,Organismal Functions"	Walking	6.13E-03	"CACNA1A,CEND1,GBX1"	3
Tissue Morphology	Quantity of cells	6.21E-03	"ABCA4,BIRC3,CACNA1A,CTSS,CYP2J2,DAPP1,EBI3,FOSB,GBX1,IHH,IL21R,IL31RA,ITGB2,KLHL6,MAP6,MUC1,NR4A3,PDCD1LG2,PLP1,RASGRP3,RFTN1,SAA1,SLC18A3,STX11,SYTL2,TNFRSF9,VIPR2,VTN"	28
"Cellular Growth and Proliferation,Lymphoid Tissue Structure and Development"	Proliferation of lymphatic system cells	6.39E-03	"BIRC3,DAPP1,EBI3,ERG,HHLA2,IL21R,IL31RA,ITGB2,LY96,NR4A3,PDCD1LG2,PLP1,RASGRP3,TNFRSF9,ULBP2"	15
"Cardiovascular System Development and Function,Cell-To-Cell Signaling and Interaction"	Attachment of endothelial cells	6.50E-03	"FBLN5,ITGB2"	2
"Cell Cycle,Inflammatory Response"	Effector phase	6.50E-03	"PDCD1LG2,TNFRSF9"	2
"Endocrine System Development and Function,Small Molecule Biochemistry"	Metabolism of androgen	6.50E-03	"DHRS9,HSD17B6"	2
"Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology"	Quantity of lymphocytes	6.50E-03	"CTSS,DAPP1,EBI3,FOSB,IL21R,ITGB2,KLHL6,MUC1,PDCD1LG2,PLP1,RASGRP3,SAA1,TNFRSF9,VIPR2"	14
"Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Hematological System Development and Function,Inflammatory Response"	Phagocytosis of neutrophils	7.00E-03	"ITGB2,SAA1,VTN"	3
"Cellular Growth and Proliferation,Connective Tissue Development and Function,Tissue Development"	Proliferation of fibroblast-like synoviocytes	7.15E-03	"SAA1,VTN"	2
Cardiovascular Disease	Childhood hypertension	7.15E-03	"ACE2,CA13"	2
Molecular Transport	Transport of inorganic cation	7.31E-03	"ATP6V0A4,CACNA1A,KCNB1,KCNG3,KCNK9,OTOP1,RYR3,SYTL2"	8
"Energy Production,Lipid Metabolism,Small Molecule Biochemistry"	Oxidation of lipid	7.54E-03	"C1QTNF2,CYP2J2,DHRS9,HSD17B6,NR4A3,RDH16"	6
"Cell-To-Cell Signaling and Interaction,Inflammatory Response"	Immune response of phagocytes	7.54E-03	"ITGB2,LY96,MUC1,SAA1,TNFRSF9,VTN"	6
Organismal Injury and Abnormalities	Fibrosis	7.66E-03	"ACE2,CTSS,EBI3,ERG,IL21R,LOR,LRRC15,MYH2,SH2D1B,SLC18A3,UBD,VTN"	12
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease"	Advanced ovarian adenocarcinoma	7.82E-03	"ABCA8,CACNA1A,DAB2,MUC1"	4
Post-Translational Modification	Cross-linkage of peptide	7.84E-03	"LOR,TGM1"	2
"Cardiovascular System Development and Function,Tissue Development"	Binding of endothelial tissue	7.84E-03	"OLR1,VTN"	2
"Cancer,Organismal Injury and Abnormalities"	Cancer of cells	8.09E-03	"ABCA4,ADAMTS14,ARHGDIG,ART5,ATP13A4,BIRC3,C1QTNF2,CACNA1A,DAAM1,DAB2,DNAJC12,EBI3,EMILIN2,ERG,FBLN5,FLG2,GBX1,GRPR,HHLA2,HOXD1,HSD17B6,IL21R,ITGB2,IZUMO4,JPH2,KCNK9,KLHL6,KRTAP2-3/KRTAP2-4,LCE1F,LOR,MUC1,MYH2,NR4A3,OTOP1,PDCD1LG2,PLP1,RAET1G,RAET1L,RASGRP3,RFTN1,RXRG,RYR3,SLCO5A1,SMPDL3B,STOML3,STX11,TEX14,TEX15,TMPRSS7,TNFAIP8L3,TNFRSF9,UBD,UBE2QL1,VTN"	54
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	T cell response	8.11E-03	"EBI3,IL21R,PDCD1LG2,PLP1,TNFRSF9"	5
"Neurological Disease,Organismal Injury and Abnormalities"	Primary tonic-clonic seizure	8.55E-03	"CA13,CACNA1A"	2
Cellular Movement	Haptotaxis of tumor cell lines	8.55E-03	"DAAM1,VTN"	2
"Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology"	Quantity of natural killer T lymphocytes	8.61E-03	"CTSS,EBI3,TNFRSF9"	3
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Activation of T lymphocytes	8.88E-03	"IL21R,ITGB2,NR4A3,PDCD1LG2,PLP1,SAA1,STX11,TNFRSF9"	8
Cell Death and Survival	Cytolysis	9.09E-03	"IL21R,ITGB2,MUC1,SH2D1B,STX11,TENT5C,ULBP2"	7
"Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology"	Quantity of T lymphocytes	9.28E-03	"CTSS,EBI3,FOSB,IL21R,ITGB2,MUC1,PDCD1LG2,PLP1,SAA1,TNFRSF9,VIPR2"	11
Cardiovascular Disease	Stage II hypertension	9.29E-03	"ACE2,CA13"	2
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities"	Autosomal dominant early infantile epileptic encephalopathy	9.29E-03	"CACNA1A,KCNB1"	2
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Response of Th2 cells	9.29E-03	"IL21R,PDCD1LG2"	2
"Cardiovascular System Development and Function,Cellular Development,Cellular Growth and Proliferation,Embryonic Development,Organ Development,Organismal Development,Skeletal and Muscular System Development and Function,Tissue Development"	Generation of cardiomyocytes	9.29E-03	"DAAM1,JPH2"	2
Cell Cycle	G1 phase of prostate cancer cell lines	9.29E-03	"DAB2,ERG"	2
"Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response"	Migration of phagocytes	9.46E-03	"ASB2,CTSS,IL21R,ITGB2,SAA1,TNFRSF9,VTN"	7
Cell Death and Survival	Apoptosis of neutrophils	9.67E-03	"ITGB2,TNFRSF9,VTN"	3
Cell-To-Cell Signaling and Interaction	Activation of cells	9.71E-03	"ABCA4,CACNA1A,CTSS,DAPP1,DDIT4,IL21R,ITGB2,LY96,NR4A3,PDCD1LG2,PLP1,SAA1,STX11,TNFRSF9,ULBP2,VIPR2,VTN"	17
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Aggregation of blood cells	9.91E-03	"DAB2,EMILIN2,ITGB2,OLR1,TNFRSF9,VTN"	6
Cellular Function and Maintenance	Function of antigen presenting cells	9.91E-03	"BIRC3,CTSS,IL21R,IL31RA,LY96,PDCD1LG2"	6
"Hereditary Disorder,Organismal Injury and Abnormalities,Renal and Urological Disease"	Hereditary renal tubular disorder	1.00E-02	"ATP6V0A4,CA13,MUC1"	3
Immunological Disease	Onset of autoimmune disease	1.01E-02	"PLP1,TNFRSF9"	2
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function"	Interaction of natural killer cells	1.01E-02	"SAA1,ULBP2"	2
"Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease"	Diabetic nephropathy	1.01E-02	"ACE2,ARHGDIG,AZGP1,CA13,FBP1,MOBP,OLR1,RDH16"	8
"Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities"	Diabetic complication	1.03E-02	"ACE2,ARHGDIG,AZGP1,CA13,CACNA1A,FBP1,MOBP,OLR1,RDH16"	9
Organismal Injury and Abnormalities	Hypertrophy	1.03E-02	"ACE2,ANKRD1,CYP2J2,ERG,HSPB2,IHH,JPH2,NR4A3,RXRG,SLC18A3"	10
"Cardiovascular System Development and Function,Organismal Development"	Formation of neointima	1.04E-02	"FBLN5,NR4A3,VTN"	3
"Dermatological Diseases and Conditions,Immunological Disease,Organismal Injury and Abnormalities"	Pemphigus foliaceus	1.04E-02	"HSPB2,IHH,ZBED2"	3
"Hematological System Development and Function,Humoral Immune Response,Lymphoid Tissue Structure and Development,Tissue Morphology"	Quantity of plasma cells	1.04E-02	"ITGB2,PDCD1LG2,RASGRP3"	3
"Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology"	Quantity of helper T lymphocytes	1.06E-02	"EBI3,IL21R,PLP1,SAA1"	4
Infectious Diseases	Infection by lymphocytic choriomeningitis virus	1.09E-02	"ITGB2,TNFRSF9"	2
"Dermatological Diseases and Conditions,Organ Morphology,Organismal Injury and Abnormalities"	Redness of skin	1.09E-02	"ITGB2,TGM1"	2
"Hematological Disease,Metabolic Disease,Organismal Injury and Abnormalities"	Hypokalemia	1.09E-02	"CA13,KCNK9"	2
"Ophthalmic Disease,Organismal Injury and Abnormalities"	Exfoliative glaucoma	1.09E-02	"CACNA1A,SAA1"	2
"Hematological System Development and Function,Hypersensitivity Response,Tissue Morphology"	Quantity of eosinophils	1.09E-02	"EBI3,IL21R,ITGB2,VIPR2"	4
Immunological Disease	Hypersensitive reaction	1.11E-02	"GPD1,HCP5,IL21R,IL31RA,ITGB2,LOR,PLP1,TNFRSF9,VIPR2"	9
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Prostate cancer	1.12E-02	"ABCA4,ADAMTS14,ANKRD1,ASB2,ATP13A4,C1QTNF2,CACNA1A,DDIT4,DHRS9,ERG,FBLN5,FLG2,GBX1,GFRA3,GRPR,HSD17B6,IZUMO4,JPH2,KCNB1,KCNK9,LY96,MUC1,MYH2,NR4A3,OLR1,OTOP1,PRR9,RASGRP3,RTP4,RXRG,RYR3,SCIN,SH2D1B,SLC18A3,SLC7A7,SLCO5A1,SYT17,TEX14,TGM1,TGM4,TMPRSS7,VIPR2,VTN,WSCD2,ZMYND15"	45
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease"	Female genital tract adenocarcinoma	1.14E-02	"ABCA4,ABCA8,ACE2,ATP6V0A4,AZGP1,CACNA1A,CRABP1,CRTAC1,DAB2,DYDC1,ERG,FBLN5,FLG2,GRPR,HHLA2,HSD17B6,IL21R,IL31RA,KCNB1,KCNK9,MAP6,MUC1,MYH2,NMNAT2,OTOP1,PLP1,RAET1G,RASGRP3,RYR3,SAA1,SIRPB2,SLC18A3,SMPDL3B,STOML3,SYTL2,TEX15,TGM1,TGM4,TNFAIP8L3,TNFRSF9,UBE2QL1,VSIG1,VWA5B1,WSCD2"	44
